Description,INPUTS,WIND_CONFIG,ENABLE_SPOTTING,CROWN_FIRE_MODEL,Wall clock time,Day 1 Fire Area,Day 2 Fire Area,Day 3 Fire Area,Day 4 Fire Area,Day 5 Fire Area,Day 6 Fire Area,Day 7 Fire Area,Day 8 Fire Area,Day 1 VIIRS Area,Day 2 VIIRS Area,Day 3 VIIRS Area,Day 4 VIIRS Area,Day 5 VIIRS Area,Day 6 VIIRS Area,Day 7 VIIRS Area,Day 8 VIIRS Area,Day 1 IOU,Day 2 IOU,Day 3 IOU,Day 4 IOU,Day 5 IOU,Day 6 IOU,Day 7 IOU,Day 8 IOU,Comments on anything interesting,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CC,CBH,CH,CBD,WS,WD,M1,M10,M100,Wall clock time (s),Fire volume (ac-ft),Nembers
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3839-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.75,6.618,18.715,25.906,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.098,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,-0.0,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3836-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,1.175,9.445,27.644,41.009,63.813,78.052,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.008,0.071,0.124,0.188,0.228,0.276,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,0.06,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3835-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.715,6.619,18.44,25.262,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.096,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,-0.1,-5.3,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3838-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,1.308,9.026,27.662,40.716,64.009,77.911,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.009,0.069,0.124,0.184,0.229,0.276,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.06,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3840-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.723,6.603,18.503,25.687,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.097,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3834-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.451,4.216,10.298,14.156,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.001,0.02,0.038,0.053,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,4.73,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3833-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.679,6.582,18.556,25.633,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.097,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,0.0,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3832-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,5.055,12.603,27.702,40.912,64.315,79.853,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.033,0.09,0.136,0.18,0.231,0.281,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,47.8,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3831-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.655,6.488,19.716,28.207,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.073,0.107,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,4.4,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3830-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,1.399,8.537,21.325,30.026,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.006,0.042,0.079,0.11,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3829-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.68,6.61,18.586,25.737,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.098,None,.TRUE.,0.1,0.5,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,93.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3828-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.68,6.61,18.586,25.737,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.07,0.098,None,.TRUE.,0.1,0.5,0.1,0.7,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
inputs=inputs_WIND=_SPOTTING=_S-CONFIG=3827-lhs-large_CROWN-FIRE-MODEL=2_time_of_arrival.tif,inputs,0,.FALSE.,2.0,0.0,0.0,0.001,0.001,0.001,0.73,6.611,18.437,25.55,5.983,83.43,376.957,376.957,522.005,580.028,805.9,818.786,0.0,0.0,0.0,0.0,0.003,0.033,0.069,0.097,None,.TRUE.,0.1,0.4,0.1,0.2,3586.0,1.0,1837.0,1.0,3.0,0.1,0.3,0.1,1.0,1.0,1.0,2.0,0.0,73.0,-0.02,-4.18,6.18,-0.1,3.8,-8.4,0.09,-0.03,0.01,,,
