Description,INPUTS,WIND_CONFIG,ENABLE_SPOTTING,CROWN_FIRE_MODEL,Wall clock time,Day 1 Fire Area,Day 2 Fire Area,Day 3 Fire Area,Day 4 Fire Area,Day 5 Fire Area,Day 6 Fire Area,Day 7 Fire Area,Day 8 Fire Area,Day 1 VIIRS Area,Day 2 VIIRS Area,Day 3 VIIRS Area,Day 4 VIIRS Area,Day 5 VIIRS Area,Day 6 VIIRS Area,Day 7 VIIRS Area,Day 8 VIIRS Area,Day 1 IOU,Day 2 IOU,Day 3 IOU,Day 4 IOU,Day 5 IOU,Day 6 IOU,Day 7 IOU,Day 8 IOU,Comments on anything interesting
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=0_time_of_arrival_0000001_0347467.tif,SPOTTING=.FALSE.,,.FALSE.,0,Value to be filled,0.0,2.7396,10.0116,18.3231,29.871,45.3159,58.9374,71.5743,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09108452335005789,0.07712429330858156,0.11672771672771673,0.1454298535663675,0.1987593965200021,0.22079599264274252,0.2615202082057563,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=0_time_of_arrival_0000001_0347486.tif,SPOTTING=.FALSE.,,.FALSE.,0,Value to be filled,0.0,2.7207,10.0215,18.2862,29.844,45.2979,58.8285,71.5365,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08954071786954844,0.07685817936387412,0.11687149019288678,0.14499940961152438,0.198770168707626,0.22021364009860311,0.26131884113437176,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=0_time_of_arrival_0000001_0347496.tif,SPOTTING=.FALSE.,,.FALSE.,0,Value to be filled,0.0,2.7612,10.0413,18.3366,29.9394,45.3933,59.013,71.6364,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09108452335005789,0.0769620253164557,0.1169338432744731,0.14548889938592346,0.19936925098554534,0.2209265925809986,0.2616150019135094,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=0_time_of_arrival_0000001_0347507.tif,SPOTTING=.FALSE.,,.FALSE.,0,Value to be filled,0.0,2.7297,10.0107,18.315,29.8656,45.3537,58.9572,71.5932,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08992666923967581,0.07721518987341772,0.11686197916666667,0.14517652615420948,0.19913806695748149,0.22061355454687745,0.2615484710474951,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347441.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,2.9412,9.9216,17.7858,28.9143,43.6329,58.6998,76.5837,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09610189116171362,0.0769360981802793,0.11629048086359176,0.14948760724499524,0.21247521569047748,0.2270487602980015,0.282848468544637,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347442.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,2.9592,9.9774,17.9307,29.2482,43.9713,59.2524,76.806,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09764569664222308,0.07745048247841543,0.11739699149771092,0.1515819579336233,0.21423594361365708,0.22927752157975642,0.2849398285208966,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347447.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,2.8962,9.7749,17.6715,28.7739,43.5987,58.8834,76.7385,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09494403705133153,0.07541899441340782,0.11551047120418848,0.1488017169428878,0.21212608555805726,0.22773331230532665,0.28560425171377957,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347455.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,2.9052,9.7812,17.6913,28.7613,43.5564,58.6611,77.148,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09417213431107681,0.07524970374132385,0.11571802420673863,0.14777062470195518,0.211942538593482,0.22705409241444566,0.2861211608036333,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347463.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,2.9673,9.9342,17.9622,29.2896,44.1162,59.4414,78.5592,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09610189116171362,0.07666271788796751,0.11776251226692837,0.15182029434546862,0.214859652881937,0.22990816286311141,0.29033992702131745,None
ENABLE_SPOTTING=.FALSE._CROWN_FIRE_MODEL=2_time_of_arrival_0000001_0347466.tif,SPOTTING=.FALSE.,,.FALSE.,2,Value to be filled,0.0,3.0078,9.981,17.9226,29.2662,43.8921,59.0976,77.0058,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0995754534928599,0.07761320355480322,0.11718558470213288,0.1514411624583135,0.21313759108444064,0.22873807834791518,0.28463282480882296,None
ENABLE_SPOTTING=.TRUE._CROWN_FIRE_MODEL=0_SPOTTING_CONFIG=high_time_of_arrival_0000001_0347446.tif,SPOTTING=.TRUE.,,high,0,Value to be filled,0.0,4.401,17.379,33.6573,57.6693,100.1997,161.3646,230.0715,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.13412304165074512,0.12698544698544698,0.16986985472154964,0.23804012345679013,0.287746754401565,0.3272664835164835,0.32220419697524727,None
