Description,INPUTS,WIND_CONFIG,ENABLE_SPOTTING,CROWN_FIRE_MODEL,Wall clock time,Day 1 Fire Area,Day 2 Fire Area,Day 3 Fire Area,Day 4 Fire Area,Day 5 Fire Area,Day 6 Fire Area,Day 7 Fire Area,Day 8 Fire Area,Day 1 VIIRS Area,Day 2 VIIRS Area,Day 3 VIIRS Area,Day 4 VIIRS Area,Day 5 VIIRS Area,Day 6 VIIRS Area,Day 7 VIIRS Area,Day 8 VIIRS Area,Day 1 IOU,Day 2 IOU,Day 3 IOU,Day 4 IOU,Day 5 IOU,Day 6 IOU,Day 7 IOU,Day 8 IOU,Comments on anything interesting
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347409.tif,inputs-flat,PERTURBED,NONE-v3-reduced,2,,0.0,25.8129,146.4462,334.2663,654.417,1059.606,1561.6602,1823.994,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07707549039033089,0.29883388750995177,0.2880147412273674,0.2482218028741472,0.18674905595605903,0.17262380805905875,0.1536672205079516,None
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347431.tif,inputs-flat,PERTURBED,NONE-v3-reduced,0,,0.0,2.4795,16.3431,41.6655,79.7643,135.63,204.9102,280.5489,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0633855331841909,0.11554743919648044,0.2700505209977897,0.38752973156642884,0.6111138923654568,0.597098976109215,0.5583944683362847,None
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347408.tif,inputs-flat,PERTURBED,medium-v3-reduced,2,,0.0,29.0268,354.5973,1383.0255,2241.1152,2640.4659,2960.4213,3074.4648,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09349670122525919,0.24073498841126856,0.10342679579020564,0.09215345684328687,0.08922150115492981,0.10321664349271792,0.10040771421175253,None
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347412.tif,inputs-flat,PERTURBED,low-v3-reduced,2,,0.0,27.1746,167.2506,448.1523,881.4942,1382.6511,1855.9539,2099.8395,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07742807491793782,0.30716055823659844,0.23704716057441252,0.19474389798021205,0.14734848198990258,0.14777314007889183,0.1365221800525499,None
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347407.tif,inputs-flat,PERTURBED,medium-v3-reduced,0,,0.0,4.878,58.248,281.8071,744.588,1380.3147,1826.6346,2174.6889,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06349745331069609,0.2881796519604304,0.3500046712964405,0.21783008858292002,0.14770529277299102,0.1497152387003086,0.134860743737358,None
inputs=inputs-flat_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347420.tif,inputs-flat,PERTURBED,low-v3-reduced,0,,0.0,2.4552,16.3692,42.2667,85.5279,155.3229,255.0303,371.2644,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06275681733283527,0.114944435229723,0.2529384472626044,0.3796321712874005,0.6211999811471933,0.5521042676439295,0.508455806012505,None
inputs=inputs-flat_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347437.tif,inputs-flat,ORIGINAL,NONE-v3-reduced,2,,0.0,0.0009,5.9778,14.0481,29.88,46.7289,69.6096,96.1191,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0,0.04215178040282145,0.10846716555957286,0.14269748838303628,0.2058653492405529,0.258152811449128,0.32944354808449966,None
inputs=inputs-flat_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347492.tif,inputs-flat,ORIGINAL,NONE-v3-reduced,0,,0.0,0.0009,0.0009,1.2609,7.3548,14.4522,23.9598,37.0413,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0,0.0,0.008333333333333333,0.03860035480516303,0.07005464480874317,0.09198553661540906,0.14333189975368496,None
inputs=inputs-flat_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347446.tif,inputs-flat,ORIGINAL,medium-v3-reduced,2,,0.0,0.0009,8.2701,38.718,123.4683,275.373,483.993,720.0207,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0,0.04831809411962084,0.1602485369554223,0.2768861041970646,0.3769627572133099,0.33853401550073453,0.2796522079414966,None
inputs=inputs-flat_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347488.tif,inputs-flat,ORIGINAL,low-v3-reduced,2,,0.0,0.0009,11.1978,22.392,41.4747,57.789,88.7913,138.9132,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0,0.07767398805015568,0.15961744579107923,0.19977905692191406,0.25400720513757635,0.32408770434647866,0.35856964207253184,None
inputs=inputs-flat_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347467.tif,inputs-flat,ORIGINAL,medium-v3-reduced,0,,0.0,0.0009,4.4244,19.224,48.4497,103.5351,201.6225,349.1874,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0,0.02724426770454353,0.11359009852617866,0.21851194226473453,0.38722622443552673,0.4367384615384615,0.43501813135156914,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347421.tif,inputs,PERTURBED,NONE-v3-reduced,2,,0.0,25.4538,120.1779,252.9216,489.9114,832.8933,1346.2587,1660.9608,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06375838926174497,0.24523201681934223,0.24220004407644113,0.25755932577247576,0.22290365605873627,0.19801134341109186,0.16787944166584942,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347413.tif,inputs,PERTURBED,NONE-v3-reduced,0,,0.0,2.727,16.3953,38.1519,72.0081,114.8013,174.888,243.3204,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0650887573964497,0.10302534750613246,0.174006683995544,0.2958856459590195,0.44064627481062424,0.5095320623916811,0.5097103020006444,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347416.tif,inputs,PERTURBED,medium-v3-reduced,2,,0.0,46.5255,546.156,1877.7222,2616.3756,2945.3049,3124.89,3200.751,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09794387329813838,0.16418889374726717,0.08216476774758984,0.08034336102991887,0.08029711092216009,0.09772930993555336,0.09746063517018558,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347427.tif,inputs,PERTURBED,low-v3-reduced,2,,0.0,28.134,165.3354,568.53,1142.0955,1601.4735,1980.1332,2230.4772,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06166666666666667,0.280708526333848,0.21598648722279737,0.16920253333079746,0.1334328541338623,0.14399091112676904,0.12998878411098436,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347411.tif,inputs,PERTURBED,medium-v3-reduced,0,,0.0,2.8206,21.1815,68.4612,163.2996,343.8099,583.4322,889.6968,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06918238993710692,0.11665602044075375,0.25299313052011774,0.3492679414353148,0.411918214294763,0.33382439156382004,0.2532616019110231,None
inputs=inputs_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347426.tif,inputs,PERTURBED,low-v3-reduced,0,,0.0,2.8989,16.6779,39.3291,73.5822,124.8255,198.3483,273.636,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07079646017699115,0.10508696007185434,0.1782097716017444,0.3000379177726017,0.4830565101183658,0.5673037681948034,0.5441139151275906,None
inputs=inputs_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347425.tif,inputs,ORIGINAL,NONE-v3-reduced,2,,0.0,2.9295,16.974,28.8522,55.4472,75.0294,105.5484,154.5804,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.09764569664222308,0.11642480211081795,0.17958532695374801,0.23658140706330105,0.3129169193450576,0.3518684939713922,0.424287856071964,None
inputs=inputs_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347462.tif,inputs,ORIGINAL,NONE-v3-reduced,0,,0.0,2.7414,11.5173,21.0033,36.3879,53.8848,69.1263,84.3471,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08992666923967581,0.08458835341365462,0.12700330192478054,0.16937219991854308,0.2344131870417555,0.25371455173216434,0.2972001513431706,None
inputs=inputs_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347435.tif,inputs,ORIGINAL,medium-v3-reduced,0,,0.0,3.3462,16.7652,46.4319,94.1895,195.8814,330.3558,478.2177,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.10536472404477036,0.12339930151338765,0.27699278144678235,0.37670045695677296,0.4595837815780688,0.47553037608486015,0.4076469639689678,None
inputs=inputs_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347472.tif,inputs,ORIGINAL,low-v3-reduced,0,,0.0,2.7513,11.5227,20.9232,36.3033,53.6319,69.156,84.5442,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08992666923967581,0.08466493767255083,0.12607680541019242,0.16798464937783464,0.2320008317305193,0.25354898766581335,0.2972012102874433,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347834.tif,inputs-6km,PERTURBED,NONE-v3-reduced,2,,0.0,432.4428,1349.2323,2016.6966,2573.8506,2962.2267,3152.0556,3251.7,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.014601103863522329,0.07102111566341002,0.06188969880346582,0.0716532119881836,0.07027161819995396,0.09129777492341941,0.09014604431157056,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347537.tif,inputs-6km,PERTURBED,NONE-v3-reduced,0,,0.0,2.3202,44.253,68.3811,97.5744,139.7178,237.8826,315.4482,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08104978772674643,0.37587574913480204,0.5047331159016785,0.4680391831313299,0.5336329167251791,0.4827758950935612,0.5043240899002526,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347609.tif,inputs-6km,PERTURBED,medium-v3-reduced,2,,0.0,1179.2448,2946.5829,3412.1502,3490.1316,3516.6474,3534.7626,3544.2756,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.014578251192986889,0.04814135136593904,0.040860093497097336,0.05401637176376858,0.059428764379105124,0.0819922183012112,0.08314663967533033,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347811.tif,inputs-6km,PERTURBED,low-v3-reduced,2,,0.0,614.2986,2009.1384,2794.3668,3137.0013,3267.5265,3344.184,3402.2682,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.012380436113102628,0.053484200060519606,0.0491459215309172,0.060233728704374316,0.06412009751627312,0.08634120742063438,0.0860049239332593,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347572.tif,inputs-6km,PERTURBED,medium-v3-reduced,0,,0.0,2.358,61.7112,203.859,394.6212,1113.8121,2007.1458,2513.9142,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08182169046700116,0.4171526319881813,0.31490188459296675,0.29086797092857297,0.14904970271895251,0.1255254857399094,0.11177085027868866,None
inputs=inputs-6km_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347629.tif,inputs-6km,PERTURBED,low-v3-reduced,0,,0.0,2.3256,45.2439,70.7661,101.6082,144.6849,249.4773,346.7115,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08220764183712852,0.3782218117706322,0.506088459423364,0.46966145123480346,0.5366326577720327,0.4797634766634135,0.508606706209902,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347653.tif,inputs-6km,ORIGINAL,NONE-v3-reduced,2,,0.0,1.7532,49.8717,67.8681,136.0449,172.6902,212.193,324.4428,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.06136626785025087,0.12823397075365578,0.18696741854636592,0.19996881577921571,0.24439584472389284,0.2719918840270176,0.3084148813285966,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347779.tif,inputs-6km,ORIGINAL,NONE-v3-reduced,0,,0.0,2.1006,10.6758,22.4298,37.2168,51.8535,68.7708,81.0216,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07333076032419915,0.08928571428571429,0.19229136599032176,0.224957451981522,0.27007891038806614,0.25679041170519107,0.29104789395723346,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347675.tif,inputs-6km,ORIGINAL,medium-v3-reduced,2,,0.0,2.169,257.9382,806.9013,1391.3568,2007.0369,2916.1629,3196.5237,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07564646854496333,0.13377655730596907,0.09563962664021283,0.10240624804574859,0.0893912409940905,0.09378489021213249,0.09043161960216173,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347631.tif,inputs-6km,ORIGINAL,low-v3-reduced,2,,0.0,1.7478,50.8275,70.7337,144.1863,191.4066,237.3426,373.3488,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.0609803164801235,0.12933982114676487,0.18890054941663065,0.2044486692015209,0.240086262392172,0.2570986189845916,0.2830451866404715,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347688.tif,inputs-6km,ORIGINAL,medium-v3-reduced,0,,0.0,2.5344,21.9321,43.9272,76.1058,122.5485,189.8523,300.1419,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.08683905827865689,0.1772322179250042,0.2816703159211761,0.31021641750769063,0.3721761383692199,0.37479159719906635,0.3739488831513371,None
inputs=inputs-6km_WIND=ORIGINAL_SPOTTING=.TRUE._S-CONFIG=low-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347589.tif,inputs-6km,ORIGINAL,low-v3-reduced,0,,0.0,2.1024,10.6713,22.4199,38.052,53.5032,70.9164,83.9709,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07371671169432652,0.08894557823129251,0.1920366754393412,0.22977818292312366,0.27859380062641753,0.26493698459623466,0.302189670221244,None
inputs=inputs-wn_WIND=PERTURBED_SPOTTING=.FALSE._S-CONFIG=NONE-v3-reduced_CROWN-FIRE-MODEL=0_time_of_arrival_0000001_0347422.tif,inputs-wn,PERTURBED,NONE-v3-reduced,0,,0.0,9.9207,31.4451,65.8224,125.1441,198.8172,287.1693,387.4437,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.24203389830508473,0.18183962264150944,0.34375225063017645,0.48622186332895934,0.46941370026921925,0.3883599202392822,0.389094385104526,None
inputs=inputs-wn_WIND=PERTURBED_SPOTTING=.TRUE._S-CONFIG=medium-v3-reduced_CROWN-FIRE-MODEL=2_time_of_arrival_0000001_0347430.tif,inputs-wn,PERTURBED,medium-v3-reduced,2,,0.0,905.3109,2806.7832,3026.0547,3158.3079,3239.9361,3303.4059,3344.9463,5.983468402187932,83.43002577841172,376.95654396199825,376.95654396199825,522.005014578766,580.0280209627033,805.8996507930124,818.7858413749204,0.0,0.07746026567708918,0.06268439479170765,0.05807957722993253,0.07108833515728036,0.07512106641112955,0.09465197527546358,0.09522954509936923,None
