CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CROWN_FIRE_MODEL,CC,CBH,CBD,CH,Run Number
0.5,0.5,.TRUE.,0.2,0.3,2379.0,'LOGNORMAL',116.0,148.0,1.0,2.0,0.3,0.3,0.3,0.6,1,1,2,2.0,31.0,inputs-1000M,19.9,91.4,0,0.07,0.79,0.03,5.17,1
0.5,0.7,.TRUE.,0.1,0.2,2543.0,'LOGNORMAL',8.0,189.0,2.0,2.0,0.3,0.6,0.3,0.5,2,2,2,21.0,37.0,inputs-1000M,3.6,-47.0,0,0.01,2.17,-6.3,-0.06,2
0.3,0.4,.TRUE.,0.2,0.5,827.0,'LOGNORMAL',8.0,15.0,1.0,2.0,0.1,0.4,0.3,0.4,1,1,2,5.0,14.0,inputs-500M,9.4,-354.2,1,0.05,1.96,-6.39,-0.1,3
0.4,0.7,.TRUE.,0.2,0.5,406.0,'LOGNORMAL',31.0,186.0,2.0,3.0,0.3,0.4,0.2,0.3,1,1,2,14.0,61.0,inputs,16.8,-15.3,0,0.05,-2.49,-0.06,6.73,4
0.3,0.7,.TRUE.,0.3,0.7,806.0,'LOGNORMAL',50.0,134.0,2.0,3.0,0.4,0.7,0.3,0.7,1,1,2,13.0,81.0,inputs-1000M,17.7,260.9,1,-0.1,-0.79,-0.26,-0.06,5
0.7,0.8,.TRUE.,0.4,0.5,2217.0,'LOGNORMAL',91.0,194.0,2.0,3.0,0.1,0.7,0.5,0.6,1,1,1,12.0,44.0,inputs-1000M,11.6,-282.6,0,-0.08,3.63,0.09,0.66,6
0.2,0.3,.TRUE.,0.4,0.4,2850.0,'LOGNORMAL',29.0,45.0,2.0,3.0,0.4,0.4,0.2,0.5,1,1,1,2.0,4.0,inputs,19.3,-185.4,0,-0.0,1.41,-3.16,-0.02,7
0.6,0.8,.TRUE.,0.3,0.4,2597.0,'LOGNORMAL',13.0,79.0,2.0,2.0,0.3,0.5,0.2,0.3,1,1,2,25.0,61.0,inputs-1000M,9.8,-286.7,1,-0.02,3.0,-1.43,0.09,8
0.2,0.6,.TRUE.,0.4,0.5,2866.0,'LOGNORMAL',25.0,184.0,2.0,2.0,0.1,0.2,0.3,0.6,2,2,2,26.0,49.0,inputs-1000M,9.9,339.3,1,-0.02,3.98,-3.42,0.07,9
0.5,0.6,.TRUE.,0.1,0.6,299.0,'LOGNORMAL',191.0,197.0,1.0,2.0,0.4,0.5,0.5,0.6,1,1,2,36.0,66.0,inputs,9.1,-51.6,1,-0.09,4.42,-0.05,3.66,10
0.1,0.7,.TRUE.,0.7,0.7,1687.0,'LOGNORMAL',66.0,144.0,1.0,2.0,0.2,0.4,0.6,0.7,1,1,2,45.0,55.0,inputs-500M,9.8,275.8,0,0.09,-1.77,-0.08,2.46,11
0.8,0.8,.TRUE.,0.5,0.5,887.0,'LOGNORMAL',5.0,93.0,2.0,2.0,0.2,0.4,0.5,0.5,1,1,2,25.0,31.0,inputs-500M,10.5,-289.0,1,0.08,-2.54,-6.73,-0.06,12
0.3,0.3,.TRUE.,0.1,0.2,921.0,'LOGNORMAL',112.0,175.0,1.0,3.0,0.2,0.4,0.3,0.4,1,1,2,5.0,85.0,inputs,15.8,288.7,1,0.01,-3.63,-4.45,-0.06,13
0.6,0.7,.TRUE.,0.2,0.5,1917.0,'LOGNORMAL',134.0,193.0,1.0,2.0,0.2,0.4,0.1,0.7,1,1,2,12.0,54.0,inputs,18.2,-229.8,1,0.08,4.37,0.01,4.49,14
0.2,0.7,.TRUE.,0.1,0.3,1001.0,'LOGNORMAL',79.0,192.0,2.0,2.0,0.4,0.7,0.5,0.5,1,1,2,46.0,96.0,inputs-500M,2.3,-169.1,0,-0.07,2.54,-2.11,-0.06,15
0.2,0.8,.TRUE.,0.3,0.7,1556.0,'LOGNORMAL',58.0,82.0,1.0,2.0,0.5,0.7,0.5,0.7,1,1,2,1.0,45.0,inputs,18.3,122.0,0,0.01,4.07,-2.46,-0.01,16
0.4,0.5,.TRUE.,0.1,0.2,2293.0,'LOGNORMAL',25.0,187.0,2.0,2.0,0.2,0.5,0.4,0.5,1,1,1,75.0,90.0,inputs-1000M,14.5,-32.7,0,-0.02,-3.8,-2.34,-0.06,17
0.5,0.7,.TRUE.,0.6,0.6,404.0,'LOGNORMAL',64.0,186.0,1.0,3.0,0.5,0.6,0.6,0.7,1,1,2,11.0,77.0,inputs,14.3,-243.8,0,0.0,1.14,-0.03,5.81,18
0.5,0.7,.TRUE.,0.3,0.7,2274.0,'LOGNORMAL',4.0,146.0,2.0,2.0,0.4,0.6,0.2,0.3,1,1,2,41.0,90.0,inputs-500M,7.9,-109.3,0,0.02,0.42,0.07,3.2,19
0.3,0.7,.TRUE.,0.4,0.4,692.0,'LOGNORMAL',20.0,47.0,1.0,2.0,0.4,0.4,0.2,0.5,1,1,2,9.0,94.0,inputs,14.3,72.4,1,0.0,-1.37,-2.72,0.08,20
0.6,0.7,.TRUE.,0.4,0.7,852.0,'LOGNORMAL',62.0,123.0,2.0,2.0,0.4,0.4,0.3,0.4,2,2,2,7.0,16.0,inputs,19.2,-209.5,0,-0.02,-4.28,-3.63,0.04,21
0.5,0.7,.TRUE.,0.3,0.4,1458.0,'LOGNORMAL',75.0,153.0,2.0,3.0,0.4,0.7,0.2,0.6,1,1,1,82.0,99.0,inputs-500M,1.7,86.6,1,-0.09,0.13,-4.56,-0.09,22
0.1,0.8,.TRUE.,0.4,0.4,1938.0,'LOGNORMAL',129.0,185.0,2.0,2.0,0.3,0.5,0.3,0.5,1,1,2,49.0,83.0,inputs-500M,7.9,-186.7,1,-0.08,-2.91,-0.09,2.27,23
0.2,0.5,.TRUE.,0.5,0.6,639.0,'LOGNORMAL',4.0,90.0,1.0,2.0,0.3,0.6,0.1,0.6,1,1,2,45.0,77.0,inputs-1000M,8.2,-29.7,0,-0.02,-0.54,-1.83,0.07,24
0.2,0.5,.TRUE.,0.1,0.5,2538.0,'LOGNORMAL',61.0,105.0,1.0,2.0,0.6,0.6,0.3,0.7,1,1,1,58.0,74.0,inputs,16.5,-325.8,1,-0.01,2.71,0.07,6.94,25
0.2,0.2,.TRUE.,0.1,0.3,2757.0,'LOGNORMAL',83.0,168.0,1.0,2.0,0.3,0.6,0.3,0.6,2,2,2,4.0,27.0,inputs,15.7,139.4,1,0.01,4.79,-0.36,-0.01,26
0.2,0.4,.TRUE.,0.4,0.7,1528.0,'LOGNORMAL',68.0,91.0,2.0,2.0,0.3,0.7,0.3,0.5,1,1,1,63.0,88.0,inputs-500M,10.9,-188.7,1,-0.05,3.99,-0.13,0.08,27
0.6,0.8,.TRUE.,0.4,0.5,2803.0,'LOGNORMAL',112.0,122.0,1.0,2.0,0.3,0.5,0.4,0.4,1,1,2,5.0,85.0,inputs-1000M,13.5,108.2,1,-0.1,4.12,-0.03,3.69,28
0.7,0.7,.TRUE.,0.6,0.6,193.0,'LOGNORMAL',20.0,191.0,2.0,3.0,0.4,0.5,0.2,0.4,1,1,2,27.0,74.0,inputs-500M,19.0,-334.0,0,-0.05,-3.5,-0.3,-0.03,29
0.3,0.6,.TRUE.,0.2,0.7,2089.0,'LOGNORMAL',29.0,194.0,2.0,3.0,0.4,0.7,0.2,0.5,2,2,2,29.0,81.0,inputs-500M,12.9,-89.1,1,-0.09,-1.54,-0.77,0.09,30
0.2,0.3,.TRUE.,0.5,0.7,1715.0,'LOGNORMAL',10.0,19.0,2.0,2.0,0.2,0.6,0.2,0.5,2,2,2,28.0,92.0,inputs-500M,8.6,345.5,1,-0.03,-3.17,-3.83,0.08,31
0.3,0.6,.TRUE.,0.5,0.6,2865.0,'LOGNORMAL',122.0,126.0,2.0,3.0,0.6,0.6,0.3,0.5,1,1,2,56.0,70.0,inputs,8.9,-346.0,1,-0.08,-0.76,-0.1,5.02,32
0.4,0.5,.TRUE.,0.3,0.6,1115.0,'LOGNORMAL',41.0,117.0,2.0,3.0,0.2,0.4,0.5,0.6,1,1,2,71.0,93.0,inputs-1000M,19.1,-323.8,0,0.01,1.46,-0.07,0.7,33
0.1,0.3,.TRUE.,0.2,0.6,1392.0,'LOGNORMAL',32.0,187.0,2.0,3.0,0.2,0.6,0.2,0.5,1,1,2,46.0,89.0,inputs-500M,4.3,3.9,0,-0.04,-0.99,-1.45,-0.01,34
0.2,0.3,.TRUE.,0.4,0.4,1341.0,'LOGNORMAL',60.0,126.0,1.0,3.0,0.2,0.2,0.1,0.2,2,2,2,72.0,88.0,inputs,12.8,217.5,1,0.03,-4.52,-6.98,0.1,35
0.2,0.7,.TRUE.,0.1,0.7,353.0,'LOGNORMAL',174.0,184.0,2.0,2.0,0.2,0.7,0.3,0.5,2,2,2,18.0,44.0,inputs,19.3,-101.0,1,-0.09,4.45,-3.06,0.02,36
0.3,0.8,.TRUE.,0.2,0.3,1075.0,'LOGNORMAL',143.0,152.0,1.0,2.0,0.4,0.4,0.1,0.2,1,1,2,77.0,98.0,inputs,4.5,-317.9,1,-0.01,0.95,0.0,2.09,37
0.1,0.5,.TRUE.,0.1,0.3,2493.0,'LOGNORMAL',54.0,84.0,2.0,2.0,0.5,0.6,0.5,0.5,1,1,2,71.0,85.0,inputs-500M,6.0,112.2,0,-0.04,-1.21,-0.85,-0.09,38
0.3,0.7,.TRUE.,0.2,0.2,1510.0,'LOGNORMAL',69.0,118.0,1.0,2.0,0.4,0.6,0.2,0.5,1,1,2,56.0,73.0,inputs-1000M,9.3,-271.0,1,0.08,1.48,-4.25,-0.08,39
