CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CROWN_FIRE_MODEL,CC,CBH,CBD,CH,Run Number
0.5,0.6,.TRUE.,0.2,0.2,43.0,'LOGNORMAL',33.0,86.0,2.0,2.0,0.1,0.7,0.3,0.4,1,1,2,23.0,26.0,inputs,3.7,-110.2,0,-0.04,1.32,-0.04,5.77,1
0.3,0.6,.TRUE.,0.2,0.2,2751.0,'LOGNORMAL',25.0,105.0,1.0,2.0,0.5,0.5,0.6,0.6,1,1,1,89.0,91.0,inputs,7.3,14.7,0,-0.06,0.48,-0.08,0.0,10
0.4,0.5,.TRUE.,0.2,0.4,1542.0,'LOGNORMAL',31.0,152.0,2.0,3.0,0.2,0.5,0.3,0.5,2,2,2,40.0,74.0,inputs,9.6,-268.9,1,-0.01,-3.91,0.02,1.83,15
0.2,0.4,.TRUE.,0.3,0.4,810.0,'LOGNORMAL',127.0,164.0,2.0,2.0,0.6,0.7,0.4,0.5,1,1,1,2.0,25.0,inputs,13.3,183.6,1,0.05,-3.84,-3.38,-0.06,21
0.3,0.3,.TRUE.,0.4,0.5,650.0,'LOGNORMAL',53.0,200.0,1.0,3.0,0.4,0.6,0.1,0.6,1,1,2,10.0,16.0,inputs,0.5,-99.0,0,0.02,-2.0,-1.3,-0.05,26
0.2,0.4,.TRUE.,0.3,0.5,1030.0,'LOGNORMAL',69.0,128.0,1.0,2.0,0.5,0.7,0.2,0.3,1,1,2,62.0,67.0,inputs,14.7,-260.0,1,0.03,-1.06,-5.9,0.06,28
0.4,0.7,.TRUE.,0.3,0.3,942.0,'LOGNORMAL',55.0,173.0,2.0,2.0,0.3,0.4,0.6,0.6,1,1,2,86.0,98.0,inputs,10.2,27.9,0,0.07,1.36,0.05,2.57,31
0.1,0.3,.TRUE.,0.3,0.3,609.0,'LOGNORMAL',27.0,74.0,2.0,3.0,0.5,0.6,0.4,0.5,1,1,2,3.0,31.0,inputs,8.2,4.9,0,-0.02,-0.73,0.05,2.67,38
0.5,0.5,.TRUE.,0.2,0.2,530.0,'LOGNORMAL',34.0,43.0,1.0,2.0,0.2,0.4,0.6,0.6,2,2,2,82.0,92.0,inputs,16.3,-215.0,0,-0.1,-2.98,-2.16,-0.02,41
0.3,0.5,.TRUE.,0.2,0.4,2114.0,'LOGNORMAL',72.0,176.0,1.0,2.0,0.2,0.5,0.2,0.6,1,1,1,52.0,89.0,inputs,9.0,-2.2,0,-0.07,3.66,-3.34,-0.0,44
0.2,0.6,.TRUE.,0.1,0.4,1479.0,'LOGNORMAL',59.0,62.0,1.0,3.0,0.2,0.4,0.2,0.2,2,2,2,57.0,96.0,inputs,6.0,-41.2,0,0.02,-3.74,-0.3,-0.09,55
