ENABLE_SPOTTING,ENABLE_SURFACE_FIRE_SPOTTING,SURFACE_FIRE_SPOTTING_PERCENT,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_TYPE,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_HI,NEMBERS_MAX_HI,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CROWN_FIRE_SPOTTING_PERCENT_MAX,PIGN_MAX,CROWN_FIRE_MODEL,WIND_SPEED,WIND_DIRECTION,CC,CBH,CH,CBD,M1,M10,M100
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.59375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.53125,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.15625,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.84375,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,449.21875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.34375,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.46562500000000007,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.40937500000000004,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.46875,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.915625,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.521875,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,96.90625,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.28125,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,0.625,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
0.09375,0.46875,0.46875,3937.5,1.28125,1937.96875,2.53125,0.859375,0.521875,1.78125,0.184375,0.46562500000000007,65.96875,0.65625,6.875,-337.5,0.056249999999999994,0.9375,3.9375,-0.09375,0.4375,0.8125,0.1875
