CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CROWN_FIRE_MODEL,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CC,CBH,CBD,CH,M1,M10,M100,Run Number
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1514
0.1,0.5,.TRUE.,0.1,0.2,4711,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1516
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,798,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1518
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.7,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1520
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.3,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1521
0.1,0.5,.TRUE.,0.1,0.7,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1523
0.1,0.9,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1524
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1526
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,13.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1527
0.1,0.5,.TRUE.,0.1,0.2,352,'LOGNORMAL',1,1822,1,3,0.1,0.3,0.1,0.4,1,1,3,0,83,2,inputs-camp,8.7,0,-0.05,-1.29,-4.87,-0.1,-0.04,-0.05,-0.1,1528
