CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CROWN_FIRE_MODEL,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CC,CBH,CBD,CH,M1,M10,M100,Run Number
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,1
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,2
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,3
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,4
0.1,0.5,.TRUE.,0.1,0.2,938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,5
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,6
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,449.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,7
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,2.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,8
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.5,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,9
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.4,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,10
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,1,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,11
0.1,0.5,.TRUE.,0.1,0.9,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,12
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,13
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,97.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,14
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,0,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,15
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,0.6,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,16
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.02,17
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.08,0.94,-0.09,3.94,0.04,0.08,0.02,18
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,-0.94,-0.09,3.94,0.04,0.08,0.02,19
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-2.19,-0.09,0.04,0.08,0.02,20
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,0.09,3.94,0.04,0.08,0.02,21
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.01,0.08,0.02,22
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,-0.09,0.02,23
0.1,0.5,.TRUE.,0.1,0.2,3938.0,'LOGNORMAL',1.0,1938.0,1.0,3.0,0.1,0.9,0.1,0.5,1,1,2,0.0,66.0,2,inputs,6.9,-337.5,0.06,0.94,-0.09,3.94,0.04,0.08,0.04,24
0.1,0.5,.TRUE.,0.1,0.9,938.0,'LOGNORMAL',1.0,449.0,1.0,2.0,0.1,0.5,0.1,0.4,1,1,1,0.0,97.0,0,inputs,0.6,-337.5,0.08,-0.94,-2.19,0.09,0.01,-0.09,0.04,25
0.1,0.5,.TRUE.,0.1,0.9,938.0,'LOGNORMAL',1.0,449.0,1.0,2.0,0.1,0.5,0.1,0.4,1,1,1,0.0,97.0,0,inputs,0.6,-337.5,0.08,-0.94,-2.19,0.09,0.01,-0.09,0.04,26
0.1,0.5,.TRUE.,0.1,0.9,938.0,'LOGNORMAL',1.0,449.0,1.0,2.0,0.1,0.5,0.1,0.4,1,1,1,0.0,97.0,0,inputs,0.6,-337.5,0.08,-0.94,-2.19,0.09,0.01,-0.09,0.04,27
