CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX,CROWN_FIRE_MODEL,INPUT_DIR,WIND_SPEED,WIND_DIRECTION,CC,CBH,CBD,CH,M1,M10,M100,Run Number
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,1
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,2
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,3
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,4
0.1,0.8,.TRUE.,0.1,0.8,539.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,5
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,6
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1015.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,7
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,2.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,8
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,1.0,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,9
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.1,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,10
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,3,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,11
0.1,0.8,.TRUE.,0.1,0.7,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,12
0.1,0.5,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,13
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,74.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,14
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,15
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,11.8,188.4,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,16
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,-272.8,0.01,-1.45,-5.85,0.01,0.07,-0.09,0.08,17
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,-0.02,-1.45,-5.85,0.01,0.07,-0.09,0.08,18
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,0.27,-5.85,0.01,0.07,-0.09,0.08,19
0.1,0.8,.TRUE.,0.1,0.8,1148.0,'LOGNORMAL',1.0,1356.0,1.0,3.0,0.1,0.3,0.1,0.2,1,1,5,0.0,82.0,2,inputs,0.6,188.4,0.01,-1.45,0.01,0.82,0.07,-0.09,0.08,20
