CROWN_FIRE_SPOTTING_PERCENT_MIN,CROWN_FIRE_SPOTTING_PERCENT_MAX,ENABLE_SURFACE_FIRE_SPOTTING,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MIN,GLOBAL_SURFACE_FIRE_SPOTTING_PERCENT_MAX,CRITICAL_SPOTTING_FIRELINE_INTENSITY,SPOTTING_DISTRIBUTION_TYPE,MEAN_SPOTTING_DIST_MIN,MEAN_SPOTTING_DIST_MAX,NORMALIZED_SPOTTING_DIST_VARIANCE_MIN,NORMALIZED_SPOTTING_DIST_VARIANCE_MAX,SPOT_WS_EXP_LO,SPOT_WS_EXP_HI,SPOT_FLIN_EXP_LO,SPOT_FLIN_EXP_HI,NEMBERS_MIN,NEMBERS_MAX_LO,NEMBERS_MAX_HI,PIGN_MIN,PIGN_MAX
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,1.0,2.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,2.0,3.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,3.0,4.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,4.0,5.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,6.0,7.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,8.0,9.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,11.0,12.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,16.0,17.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,22.0,23.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,30.0,31.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,41.0,42.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,56.0,57.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,76.0,77.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,104.0,105.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,141.0,142.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,192.0,193.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,261.0,262.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,354.0,355.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,481.0,482.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,653.0,654.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,886.0,887.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,1202.0,1203.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,1630.0,1631.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,2211.0,2212.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
0.2,0.8,True,0.2,0.8,2000.0,LOGNORMAL,2999.0,3000.0,2.0,3.0,0.4,0.7,0.2,0.4,1,1,1,99.0,100.0
